bug_report_url,bug_report_url_redirected,bug_report_title,created_at,status,closure_reason,n_bugs_covered,programming_language,is_anonymously_reported,has_repro_steps,test_present,fix_entity_type,fix_commit_pr_sha,n_files_changed_in_fix,fix_component,is_fail_stop,comment_count,issue_participants_count,closed_at,issue_description_length_chars,issue_first_comment_at,pr_head_commit_sha,pr_commit_count,pr_has_commit_id,pr_review_submission_count,pr_review_rounds_estimate
https://github.com/SealSC/SealEVM/issues/18,https://github.com/SealSC/SealEVM/issues/18,Inappropriate code implementation of SealEVM gas prices,2024-02-29T02:23:35Z,closed,Won't Fix,1,Go,False,False,False,,,0,core/production code,False,1,2,2024-04-16T06:44:44Z,1584,2024-04-16T06:44:45Z,,,,,
https://github.com/lemon-lang/lemon/issues/29,https://github.com/lemon-lang/lemon/issues/29,Using the return value from snprintf without proper checks can cause overflow.,2023-06-22T19:00:26Z,open,Still Open,2,C,False,False,,,,,core/production code,False,0,1,,890,,,,,,
https://github.com/never-lang/never/issues/52,https://github.com/never-lang/never/issues/52,test/test_inttab.c: constant comparison,2023-06-28T20:15:20Z,closed,Fixed,1,C,False,False,True,pr,d6892e2f6dead0c15dddd0e3b7848e6a8354c2da,1,test code,False,3,4,2023-07-02T13:48:09Z,499,2023-06-29T17:54:47Z,,,,,
https://web.archive.org/web/20201018023241/https://github.com/leonhad/pdftools/issues/5,https://web.archive.org/web/20201018023241/https://github.com/leonhad/pdftools/issues/5,A Segmentation fault in textglyph.cpp:35:32,2020-08-06T03:35:01Z,open,Still Open,1,C++,False,,,,,,,,,,,,,,,,,
https://github.com/zlgopen/awtk/issues/835,https://github.com/zlgopen/awtk/issues/835,Integer overflow when calculating malloc() size,2023-05-21T02:23:13Z,closed,Fixed,1,C,False,False,False,commit,3ddddd9b623577b9d4b258c244b0369568a670af;a38667e7cea31f713265a4e6793fb36e675f7ce5,3,core/production code,False,1,2,2023-05-25T17:38:17Z,594,2023-05-25T12:06:11Z,,,,,
https://github.com/lionsoul2014/friso/issues/23,https://github.com/lionsoul2014/friso/issues/23,src/frisco_link.c pointless unsigned integer comparison,2023-07-04T19:53:05Z,open,Still Open,1,C,False,False,,,,,core/production code,False,0,1,,227,,,,,,
https://github.com/symisc/unqlite/issues/154,https://github.com/symisc/unqlite/issues/154,unqlite.c: unsigned differences compared to 0,2023-07-12T17:03:30Z,closed,Won't Fix,3,C,False,False,False,,,0,core/production code,False,0,2,2023-07-25T15:20:01Z,411,,,,,,
https://github.com/swftools/swftools/issues/104,https://github.com/swftools/swftools/issues/104,A Segmentation fault error,2020-08-01T06:57:51Z,open,Still Open,1,C,False,False,,,,,core/production code,True,0,1,,708,,,,,,
https://github.com/matthiaskramm/swftools/issues/116,https://github.com/swftools/swftools/issues/116,A heap-buffer-overflow in swfaction.c:398,2020-08-05T07:06:56Z,open,Still Open,1,C,False,True,,,,,core/production code,True,0,1,,2546,,,,,,
https://github.com/ClickHouse/ClickHouse/issues/70638,https://github.com/ClickHouse/ClickHouse/issues/70638,Unexpected result when querying a table with a WHERE clause on a Float32 column in SQL,2024-10-14T14:56:54Z,open,Still Open,1,C++,False,True,,,,,core/production code,False,2,3,,915,2024-10-14T19:21:30Z,,,,,
